Cluster,quarter,FCG<=2,tot_meb,fatalities,r3s,ramadan_days
Al Haymah Ad Dakhiliyah,2024Q2,0.458333333,1.061153907,,-0.385,10
Al Haymah Ad Dakhiliyah,2024Q3,0.520833333,1.091791347,0,1.267,0
Al Haymah Ad Dakhiliyah,2024Q4,0.479591837,1.091791347,,1.444,0
Al Haymah Ad Dakhiliyah,2025Q1,0.541666667,1.129769223,,0.324,30
Al Haymah Ad Dakhiliyah,2025Q2,0.5625,1.096933625,0,-1.314,0
Al Haymah Ad Dakhiliyah,2025Q3,0.537634409,1.173922384,,1.51,0
Al Haymah Ad Dakhiliyah,2025Q4,0.4375,1.234795967,,-0.913,0
Al Haymah Al Kharijiyah,2025Q3,0.612244898,1.173922384,,1.112,0
Al Haymah Al Kharijiyah,2025Q4,0.6,1.234795967,,-0.7,0
Al Hazm,2023Q4,0.537688442,1.122622723,5,1.794,
Al Hazm,2024Q1,0.567251462,1.138800961,8,0.168,22
Al Hazm,2024Q2,0.602409639,1.16141129,6,-0.399,10
Al Hazm,2024Q3,0.631578947,1.167453316,3,1.393,0
Al Hazm,2024Q4,0.55,1.180778345,2,0.85,0
Al Hazm,2025Q1,0.705263158,1.129769223,26,-0.562,30
Al Hazm,2025Q2,0.712765957,1.096933625,4,-1.568,0
Al Hazm,2025Q3,0.691489362,1.173922384,12,1.032,0
Al Hazm,2025Q4,0.642105263,1.234795967,13,-0.028,0
Al Hissn,2024Q2,0.53271028,1.061153907,,0.436,10
Al Hissn,2024Q3,0.54,1.091791347,,1.279,0
Al Hissn,2024Q4,0.424242424,1.091791347,,1.806,0
Al Hissn,2025Q1,0.525773196,1.129769223,,-0.479,30
Al Hissn,2025Q2,0.541666667,1.096933625,4,-1.144,0
Al Hissn,2025Q3,0.638297872,1.173922384,3,0.682,0
Al Hissn,2025Q4,0.451612903,1.234795967,,0.169,0
Al Hodeidah-Cluster16,2023Q4,0.25,1.026979758,,2.3935,
Al Hodeidah-Cluster16,2024Q2,0.313432836,1.056931718,8,-0.3045,10
Al Hodeidah-Cluster16,2024Q3,0.373493976,1.092756147,1,1.3945,0
Al Hodeidah-Cluster16,2024Q4,0.344086022,1.12200308,9,1.2205,0
Al Hodeidah-Cluster16,2025Q1,0.395604396,1.120113309,5,-0.2045,30
Al Hodeidah-Cluster16,2025Q2,0.566666667,1.186534834,86,-0.9365,0
Al Hodeidah-Cluster16,2025Q3,0.4625,0.994579743,0,1.3415,0
Al Hodeidah-Cluster16,2025Q4,0.471428571,1.234795967,3,0.2715,0
Al Hodeidah-Cluster17,2023Q4,0.444444444,1.113807277,27,1.5965,
Al Hodeidah-Cluster17,2024Q1,0.395061728,1.214301999,12,0.7215,22
Al Hodeidah-Cluster17,2024Q2,0.479166667,1.069661136,19,1.3855,10
Al Hodeidah-Cluster17,2024Q3,0.604395604,1.02946367,5,0.897,0
Al Hodeidah-Cluster17,2024Q4,0.561904762,1.035680241,25,1.2505,0
Al Hodeidah-Cluster17,2025Q1,0.586538462,0.985065205,2,-0.186,30
Al Hujjaylah,2024Q2,0.623655914,1.056931718,,-0.186,10
Al Hujjaylah,2024Q3,0.655555556,1.092756147,,0.979,0
Al Hujjaylah,2024Q4,0.671052632,1.12200308,,1.22,0
Al Hujjaylah,2025Q1,0.586206897,1.120113309,,0.05,30
